,0
639,9960
640,11771
641,10668
642,11232
643,9297
644,11883
645,11738
646,11085
647,9828
648,10930
649,11004
650,8767
651,9074
652,10426
653,5981
654,9099
655,9626
656,11837
657,9737
658,7838
659,8164
660,7122
661,11659
662,11858
663,11636
664,10881
665,11571
666,8725
667,10094
668,11332
669,10908
670,8941
671,10747
672,10834
673,10954
674,9096
675,10808
676,11560
677,10662
678,6139
679,10598
680,11675
681,7509
682,6627
683,10907
684,10645
685,10422
686,9240
687,10041
688,8753
689,10464
690,11714
691,9909
692,11168
693,6042
694,10165
695,11857
696,7380
697,11229
698,7411
699,10787
700,10529
701,11704
702,11672
703,11619
704,11225
705,5588
706,11696
707,9802
708,11411
709,11000
710,9071
711,11303
712,11299
713,11078
714,9120
715,6654
716,9720
717,8447
718,8858
719,9504
720,10396
721,9090
722,9562
723,7380
724,8752
725,10106
726,10210
727,5733
728,9698
729,10905
730,11125
731,11609
732,9092
733,6387
734,7951
735,11118
736,8500
737,9225
738,8520
739,6527
740,10298
741,9606
742,11372
743,11445
744,11375
745,8150
746,11302
747,10588
748,9892
749,8568
750,9832
751,7094
752,6360
753,9225
754,7231
755,10781
756,10765
757,11632
758,10754
759,10921
760,8551
761,9713
762,11056
763,9605
764,7906
765,10491
766,7132
767,7253
768,11120
769,11259
770,9562
771,9080
772,7420
773,9895
774,9207
775,9565
776,10511
777,11169
778,9066
779,5130
780,11606
781,8983
782,6343
783,10051
784,9527
785,10160
786,11513
787,7810
788,11253
789,10740
790,11249
791,9306
792,8013
793,11094
794,7975
795,11694
796,6691
797,10776
798,9327
799,8838
800,11115
801,10048
802,8023
803,8919
804,7945
805,9495
806,11566
807,8786
808,6315
809,9446
810,7768
811,11684
812,7738
813,10321
814,9977
815,11616
816,8667
817,6765
818,11257
819,10486
820,11736
821,7652
822,11824
823,11281
824,10379
825,8782
826,7094
827,10516
828,10985
829,9175
830,9685
831,7202
832,11383
833,11087
834,9250
835,7421
836,8290
837,11191
838,11702
839,9473
840,7315
841,9668
842,6610
843,11511
844,10865
845,9042
846,11456
847,9058
848,10587
849,11162
850,10008
851,5867
852,9890
853,8176
854,7425
855,9516
856,9599
857,11600
858,10708
859,9798
860,10051
861,11373
862,11168
863,6991
864,10666
865,11168
866,8342
867,9420
868,10196
869,11002
870,10688
871,11124
872,11194
873,8903
874,8280
875,9317
876,7003
877,7079
878,7339
879,11684
880,10455
881,5951
882,10306
883,11814
884,11380
885,10619
886,9902
887,9695
888,7852
889,11528
890,8795
891,10603
892,8410
893,9215
894,11346
895,11543
896,8785
897,7622
898,10517
899,10716
900,11386
901,11909
902,11525
903,11428
904,8605
905,11430
906,11723
907,10713
908,10193
909,5952
910,5803
911,10300
912,11820
913,10565
914,11052
915,8623
916,11356
917,11631
918,9008
919,10849
920,8679
921,9192
922,10493
923,7707
924,9370
925,7099
926,7672
927,7224
928,10314
929,9399
930,11663
931,5204
932,11674
933,11276
934,10603
935,11354
936,9957
937,6989
938,8549
939,9764
940,11228
941,7348
942,8013
943,10555
944,11788
945,10783
946,6922
947,10359
948,11191
949,7271
950,8998
951,10599
952,10190
953,10360
954,7883
955,9443
956,10072
957,9382
958,11162
959,6896
960,10561
961,10114
962,11284
963,9773
964,11399
965,10292
966,5384
967,11955
968,10075
969,9681
970,10069
971,7810
972,8853
973,9799
974,10531
975,7551
976,10084
977,10385
978,10645
979,10357
980,9160
981,7687
982,11429
983,10655
984,10691
985,11378
986,10759
987,11812
988,5210
989,10041
990,9061
991,9017
992,11330
993,11229
994,5955
995,9870
996,7712
997,11283
998,8441
999,7820
1000,11427
1001,7146
1002,7810
1003,11564
1004,11707
1005,10630
1006,8679
1007,11079
1008,11760
1009,7865
1010,11126
1011,11119
1012,10249
1013,11112
1014,10754
1015,11854
1016,10702
1017,6782
1018,10033
1019,11627
1020,9101
1021,10902
1022,9321
1023,8724
1024,10189
1025,11665
1026,11604
1027,10370
1028,11545
1029,9094
1030,11224
1031,11821
1032,10278
1033,9521
1034,11393
1035,11177
1036,9858
1037,7638
1038,7723
1039,11534
1040,10460
