,0
639,11073
640,11203
641,9736
642,11558
643,11339
644,11721
645,10982
646,10973
647,10786
648,10106
649,10936
650,11559
651,10550
652,10276
653,11683
654,10371
655,11769
656,11826
657,10636
658,10262
659,11465
660,11521
661,11339
662,9401
663,11001
664,11100
665,10253
666,10774
667,11408
668,11055
669,10489
670,7486
671,7003
672,11494
673,11877
674,11678
675,10882
676,11085
677,11336
678,11013
679,11184
680,11438
681,11126
682,11793
683,10760
684,9555
685,5786
686,10684
687,7290
688,10545
689,10634
690,10508
691,10306
692,11927
693,7795
694,10556
695,11307
696,9651
697,10288
698,7638
699,10913
700,5751
701,10866
702,8999
703,10843
704,8433
705,11216
706,9190
707,11043
708,11456
709,9790
710,11473
711,8970
712,10883
713,6666
714,9909
715,7577
716,9901
717,11239
718,10145
719,10392
720,6605
721,9828
722,11594
723,10569
724,7638
725,6676
726,10085
727,10421
728,11065
729,10561
730,9737
731,10097
732,11742
733,11158
734,11445
735,11795
736,10412
737,10795
738,10805
739,11337
740,9349
741,10773
742,10801
743,11545
744,11182
745,10915
746,10812
747,9920
748,8234
749,10315
750,11578
751,10393
752,8810
753,11400
754,10639
755,9779
756,10638
757,10828
758,10324
759,9158
760,11547
761,11560
762,11115
763,7144
764,8964
765,10564
766,11657
767,11076
768,11389
769,5660
770,11159
771,10451
772,11163
773,10526
774,10654
775,10758
776,11702
777,11630
778,8418
779,11251
780,10169
781,7991
782,10329
783,9912
784,10700
785,6918
786,10404
787,10261
788,11034
789,9705
790,10545
791,10043
792,6795
793,10100
794,10522
795,11082
796,10717
797,10304
798,9937
799,7026
800,9353
801,6042
802,11580
803,11530
804,8733
805,9780
806,7756
807,10278
808,5212
809,11469
810,10269
811,11857
812,9407
813,10883
814,10819
815,5722
816,10166
817,11473
818,10803
819,9281
820,8857
821,10660
822,11545
823,10198
824,8212
825,9904
826,10229
827,11427
828,11455
829,10583
830,7380
831,9429
832,10174
833,9465
834,9966
835,11362
836,7983
837,8605
838,11889
839,11193
840,6814
841,11498
842,11012
843,8085
844,7974
845,11308
846,11595
847,10743
848,9791
849,10065
850,6266
851,11360
852,11314
853,11160
854,11054
855,5210
856,7810
857,10203
858,10870
859,11003
860,11448
861,9936
862,8770
863,11138
864,11783
865,11298
866,11843
867,10691
868,10234
869,10725
870,10396
871,7343
872,11510
873,11073
874,11058
875,10060
876,11559
877,7810
878,8041
879,11564
880,11456
881,10716
882,11057
883,11560
884,9341
885,11572
886,9439
887,7810
888,9215
889,11442
890,11699
891,10381
892,9529
893,10175
894,11366
895,9121
896,11261
897,11788
898,10618
899,11851
900,11311
901,10724
902,11117
903,11448
904,8801
905,10571
906,9310
907,10034
908,7810
909,11074
910,10115
911,7746
912,9702
913,9717
914,8836
915,11045
916,11544
917,11412
918,11120
919,9677
920,7781
921,10632
922,11055
923,4925
924,9961
925,11143
926,11629
927,10986
928,9470
929,9279
930,10054
931,10598
932,11544
933,11188
934,8911
935,8628
936,5071
937,10786
938,11312
939,7810
940,9742
941,10074
942,8964
943,10636
944,7386
945,9166
946,9078
947,10175
948,9411
949,11643
950,11029
951,10559
952,9821
953,9856
954,8951
955,10835
956,6841
957,11710
958,10591
959,11338
960,10567
961,11837
962,9438
963,6343
964,10264
965,10986
966,10874
967,10482
968,10845
969,9872
970,11892
971,10585
972,11623
973,10519
974,11619
975,9063
976,11689
977,11008
978,6468
979,10994
980,9462
981,9121
982,8426
983,9590
984,10676
985,9299
986,9883
987,9638
988,10408
989,9383
990,11680
991,10745
992,10487
993,9937
994,7810
995,11169
996,9081
997,8675
998,8533
999,11180
1000,11250
1001,10164
1002,11191
1003,11321
1004,11162
1005,11238
1006,11330
1007,11749
1008,10593
1009,10183
1010,11141
1011,9210
1012,10075
1013,8692
1014,10746
1015,10974
1016,8739
1017,10659
1018,11804
1019,7007
1020,7998
1021,6343
1022,11644
1023,9386
1024,10133
1025,11781
1026,7363
1027,11769
1028,10238
1029,10977
1030,8796
1031,10631
1032,10808
1033,7441
1034,10156
1035,10935
1036,10959
1037,9377
